timestamp_us,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_real_x,accel_real_y,accel_real_z,accel_world_x,accel_world_y,accel_world_z,gravity_x,gravity_y,gravity_z,yaw,pitch,roll
17113465,0.9664306640625,-0.0615234375,-0.06494140625,0.24066162109375,28,28,2107,-1,0,-1,-757,1258,-5953,-314,222,-6118,0.09591007232666016,-0.150174081325531,0.983903706073761,-0.4812173843383789,0.09606651961803436,-0.15146192908287048
17123461,0.96649169921875,-0.0614013671875,-0.0648193359375,0.24066162109375,30,28,2107,0,0,0,-754,1255,-5954,-312,222,-6119,0.09574079513549805,-0.1498868763446808,0.9840525984764099,-0.48117488622665405,0.09588805586099625,-0.15115413069725037
17133453,0.96649169921875,-0.06121826171875,-0.064697265625,0.24066162109375,30,29,2106,0,0,0,-753,1253,-5955,-312,222,-6119,0.09559296816587448,-0.14947417378425598,0.9840908050537109,-0.48123058676719666,0.09574323147535324,-0.15073846280574799
17143448,0.96649169921875,-0.06109619140625,-0.0645751953125,0.24066162109375,31,31,2104,0,-1,-1,-750,1253,-5957,-311,225,-6120,0.09541576355695724,-0.14917945861816406,0.984121561050415,-0.4812721312046051,0.09556814283132553,-0.15044109523296356
17153450,0.96649169921875,-0.06097412109375,-0.064453125,0.24066162109375,33,30,2104,-1,-1,-1,-747,1249,-5958,-308,224,-6120,0.09523855894804001,-0.14888474345207214,0.9841521978378296,-0.4813136160373688,0.09539304673671722,-0.15014372766017914
17163036,0.966552734375,-0.06085205078125,-0.0643310546875,0.24066162109375,32,30,2107,-1,-1,0,-746,1247,-5956,-308,224,-6118,0.09506920725107193,-0.14859746396541595,0.9843007326126099,-0.48127081990242004,0.09521456062793732,-0.14983606338500977
17173060,0.966552734375,-0.06072998046875,-0.064208984375,0.24066162109375,31,31,2109,-1,0,0,-746,1245,-5954,-309,223,-6116,0.0948919877409935,-0.14830273389816284,0.9843312501907349,-0.4813121259212494,0.09503944963216782,-0.14953872561454773
17183085,0.966552734375,-0.060546875,-0.06414794921875,0.24066162109375,29,31,2106,-1,0,0,-748,1242,-5957,-311,221,-6118,0.09486213326454163,-0.14791938662528992,0.9843612909317017,-0.48136067390441895,0.09501232206821442,-0.14915341138839722
17193108,0.966552734375,-0.0604248046875,-0.06402587890625,0.24066162109375,30,31,2107,0,-1,0,-745,1240,-5957,-309,222,-6117,0.0946849137544632,-0.147624671459198,0.9843917489051819,-0.48140180110931396,0.09483717381954193,-0.14885608851909637
17203334,0.96661376953125,-0.060302734375,-0.06390380859375,0.24066162109375,32,32,2108,-1,0,0,-742,1238,-5957,-307,223,-6117,0.09451549500226974,-0.14733728766441345,0.9845401048660278,-0.4813585877418518,0.09465865045785904,-0.14854848384857178
17213141,0.96661376953125,-0.06011962890625,-0.06378173828125,0.24072265625,32,32,2110,-1,-1,0,-740,1235,-5955,-306,223,-6114,0.09436029940843582,-0.14693233370780945,0.9846071004867554,-0.4815192222595215,0.09450354427099228,-0.1481362283229828
17223366,0.96661376953125,-0.05999755859375,-0.06365966796875,0.24066162109375,32,31,2111,0,0,-1,-739,1232,-5954,-306,222,-6112,0.09419040381908417,-0.14662981033325195,0.9846079349517822,-0.4814542531967163,0.09433851391077042,-0.14783552289009094
17232943,0.96661376953125,-0.05987548828125,-0.06353759765625,0.24066162109375,31,31,2109,0,0,-1,-739,1229,-5957,-306,220,-6114,0.09401316940784454,-0.14633506536483765,0.9846380949020386,-0.4814949631690979,0.09416332095861435,-0.1475382000207901
17242962,0.9666748046875,-0.05975341796875,-0.06341552734375,0.24066162109375,32,31,2106,-1,-1,-1,-736,1227,-5961,-304,221,-6118,0.09384367614984512,-0.14604762196540833,0.9847861528396606,-0.48145148158073425,0.09398478269577026,-0.14723075926303864
17252987,0.9666748046875,-0.05963134765625,-0.06329345703125,0.24066162109375,31,29,2105,0,-1,0,-736,1223,-5962,-303,218,-6118,0.0936664268374443,-0.14575284719467163,0.9848161935806274,-0.4814920723438263,0.0938095673918724,-0.1469334363937378
17263010,0.9666748046875,-0.05950927734375,-0.063232421875,0.24072265625,30,29,2106,-1,0,0,-736,1220,-5962,-303,217,-6118,0.09359991550445557,-0.1454951912164688,0.9848678708076477,-0.481631875038147,0.09374208748340607,-0.14666980504989624
17273034,0.9666748046875,-0.059326171875,-0.0631103515625,0.24072265625,30,28,2108,-1,0,0,-735,1216,-5960,-303,216,-6115,0.09345206618309021,-0.14508241415023804,0.9849050641059875,-0.4816860258579254,0.09359706938266754,-0.14625418186187744
17283257,0.9666748046875,-0.0592041015625,-0.06298828125,0.24072265625,31,29,2108,-1,0,0,-733,1215,-5960,-302,217,-6114,0.09327483177185059,-0.14478763937950134,0.98493492603302,-0.48172637820243835,0.09342183917760849,-0.1459568738937378
17293256,0.96673583984375,-0.05908203125,-0.0628662109375,0.24072265625,30,28,2107,-1,0,0,-732,1211,-5962,-301,215,-6116,0.0931052714586258,-0.14450007677078247,0.985082745552063,-0.48168233036994934,0.09324327111244202,-0.1456495225429535
17303256,0.96673583984375,-0.0589599609375,-0.062744140625,0.24072265625,28,29,2109,0,-1,-1,-733,1210,-5961,-304,215,-6114,0.09292802214622498,-0.14420528709888458,0.9851124882698059,-0.48172250390052795,0.09306801110506058,-0.14535224437713623
17312840,0.96673583984375,-0.058837890625,-0.06268310546875,0.24072265625,31,30,2108,-1,-1,-1,-729,1209,-5962,-301,217,-6115,0.09286878257989883,-0.14393988251686096,0.985134482383728,-0.48175615072250366,0.0930105671286583,-0.14508526027202606
17322870,0.966796875,-0.0587158203125,-0.06256103515625,0.24072265625,30,30,2109,-1,-1,-1,-729,1206,-5962,-301,215,-6115,0.09269917011260986,-0.14365226030349731,0.9852821826934814,-0.4817119240760803,0.09283198416233063,-0.14477798342704773
17332891,0.966796875,-0.05859375,-0.06243896484375,0.24072265625,30,29,2106,-1,0,0,-727,1203,-5965,-299,215,-6117,0.09252190589904785,-0.14335745573043823,0.98531174659729,-0.48175185918807983,0.0926567018032074,-0.14448072016239166
17342919,0.966796875,-0.05841064453125,-0.06231689453125,0.24072265625,28,30,2105,0,-1,0,-728,1201,-5966,-301,214,-6117,0.09237402677536011,-0.14294463396072388,0.9853483438491821,-0.4818051755428314,0.09251158684492111,-0.14406512677669525
17352945,0.966796875,-0.058349609375,-0.06219482421875,0.24072265625,28,30,2106,-1,0,0,-727,1199,-5966,-301,213,-6116,0.09216737747192383,-0.14276784658432007,0.9853706955909729,-0.48183146119117737,0.09230610728263855,-0.14388617873191833
17363165,0.966796875,-0.05816650390625,-0.06207275390625,0.24072265625,28,31,2107,-1,0,0,-725,1197,-5965,-300,214,-6115,0.09201949834823608,-0.1423550248146057,0.9854072332382202,-0.48188459873199463,0.09216095507144928,-0.14347057044506073
17373162,0.96685791015625,-0.05804443359375,-0.06201171875,0.24072265625,30,31,2108,-1,-1,0,-723,1195,-5965,-299,215,-6115,0.09196782112121582,-0.14209669828414917,0.9855470061302185,-0.4818335175514221,0.09210015088319778,-0.14319373667240143
17382743,0.96685791015625,-0.05792236328125,-0.0618896484375,0.24072265625,31,30,2108,-1,-1,-1,-720,1191,-5965,-296,214,-6113,0.09179054200649261,-0.1418018639087677,0.9855762720108032,-0.4818729758262634,0.09192482382059097,-0.14289647340774536
17392766,0.96685791015625,-0.05780029296875,-0.061767578125,0.24072265625,31,29,2106,-1,0,-1,-719,1188,-5968,-295,212,-6116,0.09161326289176941,-0.14150705933570862,0.9856054782867432,-0.48191243410110474,0.09174947440624237,-0.14259923994541168
17402791,0.96685791015625,-0.05767822265625,-0.0616455078125,0.24072265625,29,28,2106,0,-1,-1,-720,1184,-5968,-296,209,-6115,0.0914359837770462,-0.14121222496032715,0.9856346845626831,-0.4819518029689789,0.09157411009073257,-0.14230196177959442
